Body Type,Sex,Diet,How Often Shower,Heating Energy Source,Transport,Vehicle Type,Social Activity,Monthly Grocery Bill,Frequency of Traveling by Air,Vehicle Monthly Distance Km,Waste Bag Size,Waste Bag Weekly Count,How Long TV PC Daily Hour,How Many New Clothes Monthly,How Long Internet Daily Hour,Energy efficiency,CarbonEmission,Glass,Metal,Paper,Plastic,Airfryer,Grill,Microwave,Oven,Stove,WasteScore
normal,male,vegetarian,twice a day,coal,walk/bicycle,,sometimes,87,very frequently,58,small,5,23,46,0,Sometimes,2775,1,1,1,0,0,0,0,1,0,5
obese,female,vegetarian,less frequently,coal,private,lpg,often,130,never,1071,extra large,1,13,25,1,Sometimes,1786,0,0,0,1,0,0,0,1,1,4
overweight,male,pescatarian,twice a day,coal,walk/bicycle,,often,191,never,30,extra large,7,1,15,17,Yes,2437,1,0,0,0,0,0,1,0,1,28
normal,female,omnivore,less frequently,electricity,private,electric,often,299,very frequently,7031,large,2,10,47,12,Sometimes,2780,0,1,0,0,1,1,1,1,1,6
underweight,male,vegetarian,more frequently,wood,private,lpg,sometimes,65,frequently,4298,medium,5,5,50,18,No,3006,0,1,1,1,0,0,1,1,0,10
overweight,female,vegan,more frequently,natural gas,private,lpg,never,245,never,7618,extra large,2,8,20,18,Sometimes,3114,1,0,1,0,1,1,0,0,1,8
underweight,female,vegetarian,more frequently,natural gas,private,lpg,never,279,frequently,8301,extra large,6,22,11,8,No,3727,1,1,1,0,1,1,0,1,0,24
overweight,male,pescatarian,more frequently,electricity,public,,never,122,rarely,1882,medium,2,12,35,5,No,1302,1,1,1,0,1,1,1,1,1,4
normal,female,vegetarian,daily,coal,public,,sometimes,248,very frequently,207,medium,6,12,29,16,Yes,2556,1,1,0,1,0,0,0,0,0,12
overweight,female,vegan,more frequently,coal,public,,never,50,frequently,671,small,5,6,29,23,No,1956,0,1,1,0,0,0,1,1,1,5
underweight,female,pescatarian,less frequently,natural gas,walk/bicycle,,never,239,never,46,medium,1,2,17,13,Yes,734,1,1,0,0,0,0,1,1,0,2
overweight,female,omnivore,less frequently,wood,walk/bicycle,,often,77,frequently,66,extra large,3,20,49,9,No,2413,0,1,0,0,1,1,0,1,1,12
normal,female,vegan,less frequently,coal,private,lpg,never,107,very frequently,7523,small,4,12,29,22,No,4124,1,1,0,1,0,0,0,1,1,4
normal,female,omnivore,twice a day,natural gas,walk/bicycle,,never,243,very frequently,51,extra large,2,16,50,3,No,2759,0,1,0,0,0,0,1,1,0,8
obese,female,vegan,less frequently,coal,walk/bicycle,,sometimes,213,frequently,96,medium,3,16,1,5,Sometimes,1667,0,0,1,1,0,0,1,0,0,6
underweight,female,pescatarian,more frequently,electricity,private,diesel,often,72,frequently,7757,small,4,9,33,9,No,2988,0,1,0,1,0,0,1,0,0,4
overweight,female,vegetarian,less frequently,coal,walk/bicycle,,often,152,never,79,large,7,11,15,19,Sometimes,1690,1,1,1,0,1,1,1,1,0,21
overweight,female,omnivore,less frequently,wood,private,diesel,never,258,very frequently,3748,medium,7,17,26,22,Yes,3791,0,1,1,0,0,0,0,1,1,14
obese,female,vegetarian,less frequently,wood,private,petrol,never,179,frequently,3148,large,7,9,27,4,No,3630,0,1,1,0,1,1,0,1,0,21
overweight,female,vegetarian,daily,electricity,private,petrol,often,198,rarely,5151,extra large,4,19,19,12,Sometimes,3341,0,1,0,0,1,1,1,1,0,16
obese,male,omnivore,daily,natural gas,walk/bicycle,,often,182,frequently,84,medium,7,14,49,0,Yes,2903,1,1,0,1,1,1,0,1,0,14
overweight,male,pescatarian,twice a day,natural gas,private,lpg,never,58,never,8585,small,7,18,34,1,Yes,3942,1,0,0,0,0,0,1,1,0,7
normal,male,vegetarian,more frequently,natural gas,public,,sometimes,296,frequently,1113,small,1,19,14,17,No,2066,0,0,0,0,1,1,0,1,1,1
obese,female,vegetarian,less frequently,wood,public,,often,66,very frequently,1238,extra large,2,12,22,3,Yes,2527,0,1,1,0,0,0,0,1,1,8
obese,male,vegan,more frequently,electricity,private,electric,never,73,very frequently,7677,small,5,8,41,3,No,2551,1,0,1,0,0,0,0,0,0,5
underweight,male,vegetarian,daily,natural gas,public,,often,211,never,1176,extra large,5,6,24,19,No,1954,1,0,0,0,0,0,0,0,1,20
obese,male,vegan,daily,wood,walk/bicycle,,never,221,rarely,22,medium,6,5,5,2,No,1451,1,0,0,1,1,1,0,0,0,12
underweight,female,vegan,less frequently,wood,public,,sometimes,119,rarely,1797,small,2,3,24,22,Sometimes,992,0,1,1,0,0,0,0,0,0,2
obese,female,vegetarian,more frequently,wood,private,hybrid,never,240,never,2456,medium,3,16,31,9,No,1710,1,0,1,1,1,1,0,0,0,6
overweight,male,vegan,daily,coal,private,petrol,never,261,very frequently,3229,medium,1,10,42,3,Yes,4352,0,0,1,1,0,0,1,1,0,2
obese,female,vegan,more frequently,electricity,private,hybrid,never,149,never,3294,large,3,19,49,10,Yes,2062,0,0,0,1,1,1,1,0,1,9
underweight,female,vegan,more frequently,electricity,private,electric,often,178,very frequently,5409,large,5,6,10,3,Yes,1886,1,0,1,0,0,0,0,1,1,15
normal,female,vegetarian,less frequently,coal,public,,often,190,very frequently,561,small,4,3,13,12,Yes,2321,0,0,1,0,1,1,1,0,0,4
overweight,female,vegetarian,daily,coal,private,diesel,never,199,rarely,9427,extra large,3,22,7,20,Sometimes,3781,0,1,0,0,1,1,1,0,1,12
underweight,male,vegetarian,more frequently,electricity,private,electric,never,177,frequently,131,medium,4,9,1,12,Sometimes,1227,1,1,0,0,0,0,1,0,0,8
normal,female,pescatarian,daily,wood,walk/bicycle,,sometimes,70,rarely,34,small,2,21,48,2,No,1481,0,0,0,0,1,1,1,1,1,2
normal,female,omnivore,twice a day,electricity,walk/bicycle,,sometimes,237,never,93,small,2,5,45,3,No,1325,0,0,0,1,1,1,0,1,1,2
overweight,female,vegan,less frequently,coal,private,electric,never,89,very frequently,8843,extra large,1,3,7,8,Sometimes,1945,1,1,1,1,1,1,1,0,1,4
underweight,male,vegan,less frequently,natural gas,private,diesel,often,95,very frequently,556,medium,4,17,38,7,Sometimes,2812,1,0,0,0,1,1,1,1,1,8
normal,female,vegetarian,more frequently,coal,public,,sometimes,260,frequently,1733,large,3,20,47,2,No,2213,1,0,1,1,1,1,0,0,0,9
normal,male,pescatarian,twice a day,natural gas,public,,never,68,never,49,small,7,14,47,7,Sometimes,1287,1,1,0,1,0,0,0,1,0,7
normal,female,pescatarian,daily,coal,walk/bicycle,,never,201,very frequently,60,large,6,21,12,13,Yes,2603,0,0,0,0,0,0,0,0,0,18
normal,female,vegetarian,less frequently,electricity,public,,sometimes,85,very frequently,284,large,7,6,47,2,Sometimes,2394,0,1,1,0,0,0,0,0,0,21
obese,female,vegan,daily,wood,public,,often,78,very frequently,446,large,1,11,22,23,Yes,2292,0,1,1,1,1,1,1,1,0,3
underweight,female,vegetarian,daily,wood,private,hybrid,never,58,never,5956,small,4,24,45,5,Yes,1707,0,1,0,1,0,0,1,0,0,4
overweight,male,pescatarian,less frequently,natural gas,walk/bicycle,,often,94,very frequently,17,medium,6,24,9,24,No,2757,0,0,1,1,1,1,1,0,1,12
obese,female,omnivore,twice a day,electricity,public,,never,102,never,863,large,3,23,34,4,Yes,955,1,1,1,1,1,1,0,0,0,9
normal,male,omnivore,twice a day,natural gas,public,,never,236,frequently,596,small,1,9,6,21,Sometimes,1684,0,0,1,1,0,0,1,1,0,1
underweight,male,omnivore,less frequently,electricity,private,hybrid,often,111,very frequently,3325,medium,6,22,21,5,Yes,3149,0,0,0,0,1,1,0,1,0,12
obese,male,omnivore,daily,electricity,public,,often,170,frequently,235,small,3,19,3,10,Yes,1806,1,0,0,0,0,0,1,0,0,3
underweight,female,vegan,less frequently,electricity,public,,sometimes,195,rarely,1952,small,1,21,9,20,No,782,1,1,0,1,0,0,1,1,1,1
overweight,female,pescatarian,less frequently,wood,public,,often,285,frequently,1963,extra large,4,3,28,19,Yes,2485,1,0,1,1,0,0,1,1,1,16
normal,male,vegetarian,twice a day,electricity,private,lpg,often,281,frequently,3055,extra large,6,13,39,5,No,3412,0,0,1,0,1,1,1,1,0,24
underweight,male,vegetarian,more frequently,electricity,private,diesel,never,287,rarely,8077,medium,2,17,50,11,Yes,3509,0,1,0,0,1,1,1,1,1,4
obese,male,vegetarian,daily,wood,private,petrol,often,185,rarely,2077,extra large,1,11,30,20,No,2626,1,1,1,1,1,1,1,0,1,4
normal,male,vegan,less frequently,coal,private,electric,often,278,frequently,5043,medium,5,12,13,1,Sometimes,2268,0,0,0,1,1,1,0,1,0,10
obese,female,omnivore,more frequently,natural gas,walk/bicycle,,often,278,rarely,69,medium,2,1,20,14,Yes,1642,0,1,1,1,0,0,1,1,1,4
normal,male,vegan,daily,electricity,private,petrol,often,249,never,7179,medium,6,21,9,13,Sometimes,3821,1,1,0,0,1,1,0,0,1,12
overweight,female,omnivore,less frequently,electricity,private,petrol,often,60,rarely,7186,large,5,4,11,7,No,3508,1,0,1,1,0,0,0,0,0,15
overweight,male,vegan,less frequently,coal,public,,never,276,rarely,127,extra large,4,20,28,0,Yes,2229,0,0,0,1,1,1,0,0,0,16
obese,male,vegan,less frequently,wood,walk/bicycle,,sometimes,285,frequently,79,small,3,6,43,23,Sometimes,2221,1,1,1,1,1,1,0,1,1,3
normal,male,pescatarian,more frequently,coal,public,,often,158,never,1649,medium,2,5,3,10,Yes,1358,1,0,0,0,1,1,1,1,0,4
overweight,female,vegetarian,more frequently,natural gas,private,lpg,never,77,very frequently,7486,medium,5,12,10,21,No,4359,1,0,0,0,1,1,0,0,1,10
overweight,male,omnivore,less frequently,electricity,private,hybrid,often,107,rarely,3604,large,1,14,0,9,No,1824,0,0,0,0,1,1,0,1,0,3
normal,male,pescatarian,less frequently,coal,private,diesel,never,172,frequently,5037,extra large,2,7,10,10,Yes,2946,0,1,1,1,1,1,0,1,0,8
underweight,male,vegetarian,daily,electricity,private,lpg,often,105,rarely,4071,small,5,23,9,22,Sometimes,2195,0,0,0,0,0,0,1,0,0,5
obese,female,vegan,more frequently,coal,private,hybrid,never,132,rarely,7430,small,5,15,39,17,No,3284,0,0,0,0,1,1,1,1,1,5
overweight,male,omnivore,daily,electricity,walk/bicycle,,often,144,rarely,7,small,3,17,13,2,Yes,1246,0,0,0,1,1,1,1,0,0,3
obese,female,vegetarian,less frequently,electricity,walk/bicycle,,often,135,rarely,14,extra large,7,12,10,24,Sometimes,1780,0,1,1,1,0,0,0,1,0,28
normal,female,vegan,daily,wood,walk/bicycle,,often,178,frequently,20,small,1,0,24,18,No,1551,0,0,1,1,0,0,1,0,1,1
overweight,male,vegetarian,more frequently,coal,public,,sometimes,216,frequently,1283,large,7,1,28,12,Yes,2809,1,1,0,0,0,0,1,1,0,21
underweight,male,vegan,twice a day,electricity,walk/bicycle,,never,244,very frequently,92,large,2,11,27,17,No,2269,0,1,0,0,1,1,1,1,1,6
underweight,female,vegan,less frequently,coal,private,lpg,often,151,rarely,4989,small,1,20,50,3,No,2642,0,1,0,0,1,1,1,1,1,1
overweight,male,omnivore,less frequently,coal,walk/bicycle,,often,259,never,18,small,6,3,35,1,Sometimes,2009,0,0,1,1,1,1,1,0,1,6
obese,male,vegetarian,daily,electricity,walk/bicycle,,often,241,frequently,54,extra large,3,5,5,20,Yes,2168,0,0,0,1,1,1,0,0,1,12
overweight,male,vegan,twice a day,natural gas,public,,sometimes,271,very frequently,506,small,5,8,40,21,Yes,3114,0,0,0,1,1,1,1,1,1,5
overweight,male,pescatarian,daily,coal,walk/bicycle,,often,178,never,52,medium,1,10,34,18,Sometimes,1736,0,0,1,0,1,1,0,0,1,2
obese,male,omnivore,twice a day,electricity,public,,sometimes,151,never,559,large,2,20,24,3,No,1180,0,1,1,0,1,1,0,1,0,6
overweight,male,vegetarian,twice a day,wood,public,,often,80,never,1230,extra large,1,16,18,0,Sometimes,1107,1,1,0,1,1,1,0,0,1,4
normal,male,pescatarian,more frequently,wood,public,,often,281,very frequently,737,small,5,20,27,20,Yes,2919,1,0,1,0,0,0,1,0,0,5
normal,male,omnivore,more frequently,coal,public,,often,179,frequently,550,large,3,4,48,19,Yes,2539,1,1,1,1,1,1,0,1,0,9
underweight,male,vegan,more frequently,coal,walk/bicycle,,often,150,very frequently,71,medium,7,16,33,23,Yes,3244,1,1,0,0,1,1,0,1,1,14
normal,male,omnivore,less frequently,natural gas,private,hybrid,sometimes,110,never,2041,small,2,15,43,20,No,1804,1,0,0,1,0,0,0,0,0,2
overweight,female,vegan,daily,wood,public,,sometimes,101,never,68,extra large,3,13,1,5,No,881,0,1,0,1,0,0,0,0,0,12
obese,male,vegan,daily,coal,public,,never,87,very frequently,677,small,6,17,4,2,No,2857,0,1,1,1,1,1,0,1,1,6
overweight,male,omnivore,twice a day,wood,private,diesel,sometimes,222,frequently,2212,medium,7,15,26,11,Sometimes,3319,0,0,0,0,0,0,0,0,0,14
underweight,male,pescatarian,twice a day,electricity,walk/bicycle,,sometimes,118,rarely,39,small,6,20,4,17,No,926,1,0,1,0,1,1,1,0,0,6
normal,male,pescatarian,twice a day,electricity,private,lpg,sometimes,235,never,3368,small,7,12,27,16,No,2042,0,1,1,1,1,1,0,1,0,7
normal,male,vegetarian,more frequently,coal,public,,never,173,frequently,1219,large,4,21,0,0,Yes,1920,0,1,0,0,0,0,0,0,1,12
underweight,male,vegan,less frequently,electricity,private,diesel,often,216,frequently,3757,medium,3,14,8,22,No,2451,1,0,0,0,0,0,0,0,1,6
underweight,male,pescatarian,daily,coal,public,,often,97,very frequently,552,medium,2,9,3,2,Yes,2196,1,1,0,0,0,0,1,1,1,4
underweight,male,pescatarian,daily,electricity,walk/bicycle,,often,193,very frequently,2,large,7,5,36,11,Yes,2929,0,0,1,0,1,1,0,0,1,21
underweight,male,vegan,twice a day,coal,private,lpg,never,144,rarely,5134,medium,5,5,11,13,No,2714,1,0,1,1,1,1,1,0,0,10
overweight,male,pescatarian,daily,wood,private,lpg,often,188,very frequently,1230,small,2,24,17,20,No,3088,1,1,0,0,0,0,1,1,0,2
underweight,female,pescatarian,daily,natural gas,public,,sometimes,270,never,377,medium,2,17,5,18,Sometimes,895,0,0,1,0,1,1,0,0,1,4
overweight,female,vegetarian,twice a day,coal,private,diesel,often,167,very frequently,1630,small,5,5,28,0,No,3231,0,0,0,0,0,0,1,1,0,5
underweight,female,pescatarian,twice a day,electricity,private,electric,often,181,very frequently,3900,extra large,6,15,31,11,No,2312,1,1,1,1,1,1,1,1,1,24
overweight,male,vegetarian,more frequently,wood,public,,sometimes,99,rarely,165,small,7,21,24,13,Yes,1743,1,0,0,0,1,1,1,0,1,7
obese,female,omnivore,less frequently,wood,public,,often,143,rarely,1100,large,4,21,10,19,Sometimes,1741,1,0,1,0,1,1,0,0,0,12
overweight,male,vegan,twice a day,coal,walk/bicycle,,often,88,very frequently,37,large,2,13,43,19,Sometimes,3309,0,0,1,1,0,0,0,0,0,6
overweight,female,pescatarian,daily,wood,public,,sometimes,102,rarely,1215,large,3,21,6,23,Sometimes,1177,1,0,1,1,0,0,0,0,1,9
normal,female,vegetarian,more frequently,electricity,walk/bicycle,,sometimes,149,frequently,8,small,7,7,33,23,No,1631,0,0,1,1,1,1,0,0,0,7
overweight,male,omnivore,twice a day,coal,public,,sometimes,76,frequently,302,extra large,6,8,3,13,No,2524,0,1,1,1,1,1,0,1,0,24
underweight,male,omnivore,more frequently,electricity,public,,sometimes,268,frequently,1343,large,7,12,17,15,Sometimes,2167,1,0,1,1,0,0,1,0,1,21
obese,female,pescatarian,more frequently,wood,private,lpg,never,246,very frequently,9671,extra large,3,5,12,0,No,4922,0,1,1,1,0,0,1,1,1,12
normal,female,vegan,less frequently,wood,private,diesel,sometimes,54,rarely,6465,medium,2,16,13,20,Yes,2328,0,0,1,1,1,1,0,0,0,4
overweight,male,vegetarian,less frequently,natural gas,public,,never,158,never,647,extra large,1,15,31,6,Yes,940,1,1,1,1,1,1,1,1,0,4
overweight,female,vegetarian,twice a day,electricity,private,diesel,never,94,frequently,421,large,2,18,11,1,Sometimes,1146,0,1,1,1,1,1,1,0,1,6
obese,male,vegan,twice a day,natural gas,walk/bicycle,,sometimes,173,very frequently,50,extra large,1,4,42,1,No,3287,1,0,1,0,1,1,1,1,0,4
obese,female,vegan,daily,wood,walk/bicycle,,often,124,frequently,16,small,4,14,20,13,Yes,1835,0,1,0,0,1,1,0,0,0,4
underweight,male,vegetarian,twice a day,electricity,private,lpg,never,86,very frequently,4276,small,6,10,26,11,Sometimes,3197,1,0,1,1,0,0,1,1,0,6
normal,male,omnivore,daily,electricity,private,electric,often,174,frequently,2218,medium,1,24,33,18,Yes,1984,1,0,0,0,0,0,0,1,0,2
overweight,female,vegetarian,more frequently,natural gas,private,hybrid,sometimes,185,rarely,6994,small,4,4,4,6,Sometimes,2079,1,1,0,0,1,1,0,0,0,4
normal,male,vegetarian,less frequently,electricity,private,hybrid,never,296,very frequently,6883,small,3,19,4,12,Sometimes,3122,1,0,1,0,1,1,1,0,1,3
obese,female,vegetarian,twice a day,electricity,private,hybrid,never,87,frequently,4737,large,7,16,13,8,Yes,2545,1,1,0,1,0,0,1,1,1,21
underweight,male,vegetarian,daily,coal,walk/bicycle,,often,122,very frequently,43,extra large,2,12,12,24,Sometimes,2620,0,0,1,0,1,1,1,1,1,8
normal,female,vegetarian,daily,wood,private,electric,never,173,frequently,5027,medium,6,15,36,9,Yes,1799,0,1,0,0,1,1,0,0,0,12
underweight,female,vegetarian,twice a day,electricity,private,petrol,often,135,rarely,5330,medium,7,6,23,3,Yes,2813,1,0,1,0,1,1,0,1,1,14
normal,female,pescatarian,less frequently,coal,private,hybrid,often,165,very frequently,7390,large,3,11,0,9,Sometimes,3040,1,0,1,1,0,0,0,0,1,9
underweight,female,omnivore,less frequently,wood,public,,never,223,rarely,1586,small,5,2,29,24,Yes,1327,1,0,1,1,0,0,1,1,0,5
normal,male,omnivore,less frequently,natural gas,public,,often,85,very frequently,224,medium,7,2,15,15,Sometimes,2752,1,1,0,0,1,1,0,0,1,14
normal,male,vegetarian,more frequently,wood,private,lpg,never,263,rarely,2929,medium,6,2,4,16,Yes,2211,0,1,0,0,0,0,1,1,1,12
obese,female,pescatarian,less frequently,electricity,walk/bicycle,,never,191,frequently,81,medium,7,20,21,1,Yes,1589,1,1,1,0,1,1,1,0,0,14
normal,male,vegan,daily,coal,walk/bicycle,,never,224,very frequently,61,extra large,5,5,13,2,Yes,2905,0,0,1,0,1,1,0,1,1,20
overweight,female,omnivore,twice a day,natural gas,private,lpg,often,150,frequently,546,extra large,3,14,39,9,Sometimes,2594,0,0,0,0,1,1,0,0,0,12
overweight,female,vegetarian,daily,natural gas,public,,never,149,rarely,1560,small,3,1,37,13,No,1515,1,0,0,1,1,1,1,1,1,3
normal,male,omnivore,less frequently,wood,public,,sometimes,144,never,560,extra large,6,1,49,7,No,2281,0,0,1,1,1,1,1,1,0,24
obese,female,omnivore,less frequently,electricity,walk/bicycle,,sometimes,170,frequently,93,large,2,0,49,9,Sometimes,2003,1,1,0,1,1,1,1,0,0,6
normal,female,pescatarian,less frequently,electricity,walk/bicycle,,sometimes,198,frequently,39,medium,6,10,1,0,No,1163,1,0,1,1,0,0,1,0,0,12
overweight,female,vegan,more frequently,electricity,private,diesel,never,128,very frequently,9745,extra large,1,19,45,1,No,4556,0,1,0,1,0,0,1,1,1,4
obese,female,vegetarian,more frequently,coal,walk/bicycle,,sometimes,81,never,74,small,6,13,26,24,Yes,1417,1,0,1,1,0,0,0,1,0,6
underweight,male,vegan,less frequently,coal,public,,sometimes,93,never,1846,small,5,19,2,18,Yes,899,1,1,1,1,1,1,0,1,0,5
normal,male,vegetarian,more frequently,natural gas,public,,never,295,never,706,small,7,19,5,22,Sometimes,1221,0,1,0,1,1,1,0,1,0,7
overweight,female,pescatarian,daily,natural gas,walk/bicycle,,never,119,very frequently,21,extra large,3,12,5,0,No,2186,0,0,1,0,0,0,0,1,1,12
underweight,female,vegetarian,twice a day,wood,public,,often,222,frequently,103,large,3,9,4,19,No,1538,0,0,1,1,0,0,1,1,0,9
normal,male,vegetarian,twice a day,coal,walk/bicycle,,sometimes,298,never,52,extra large,7,20,29,13,Sometimes,2502,0,0,0,0,1,1,0,0,0,28
underweight,male,omnivore,twice a day,coal,private,electric,never,52,never,8797,small,7,13,23,5,Yes,1059,1,1,1,0,1,1,1,0,1,7
normal,female,omnivore,less frequently,wood,walk/bicycle,,never,299,never,47,large,1,12,1,13,No,820,1,1,0,0,0,0,0,0,1,3
overweight,female,vegan,daily,natural gas,public,,sometimes,92,rarely,1967,medium,4,8,15,22,Sometimes,1348,0,1,1,0,1,1,1,1,0,8
obese,male,vegan,twice a day,wood,private,lpg,sometimes,273,rarely,9980,small,7,17,45,20,Sometimes,5663,0,0,0,0,0,0,0,0,1,7
underweight,female,pescatarian,more frequently,electricity,public,,sometimes,62,rarely,1232,small,5,6,16,16,No,904,1,1,0,0,1,1,1,1,0,5
obese,male,vegan,more frequently,coal,walk/bicycle,,never,231,frequently,51,extra large,5,1,44,0,Yes,3046,1,0,1,0,0,0,1,0,0,20
overweight,female,vegan,twice a day,wood,private,lpg,never,146,rarely,3192,small,4,12,41,24,Yes,2248,1,0,0,0,0,0,0,0,1,4
obese,female,pescatarian,twice a day,electricity,walk/bicycle,,never,182,very frequently,24,extra large,4,6,3,5,Sometimes,2436,1,0,0,0,0,0,0,1,1,16
overweight,male,vegan,more frequently,wood,walk/bicycle,,often,181,very frequently,50,small,4,21,28,24,Sometimes,3172,1,0,0,0,1,1,1,1,0,4
obese,male,vegan,more frequently,wood,private,petrol,sometimes,78,rarely,798,extra large,3,0,33,13,Sometimes,2401,0,0,1,0,1,1,1,1,0,12
obese,male,vegetarian,twice a day,electricity,public,,never,140,rarely,409,small,1,21,25,18,Sometimes,1224,1,0,1,0,1,1,1,0,0,1
normal,female,vegetarian,daily,electricity,private,electric,sometimes,229,never,2389,extra large,5,24,38,23,Yes,1480,1,0,1,1,1,1,1,1,1,20
overweight,female,omnivore,daily,wood,private,lpg,often,82,frequently,9773,large,2,5,12,21,Sometimes,4307,0,0,1,1,1,1,1,1,0,6
overweight,male,omnivore,less frequently,electricity,public,,sometimes,284,never,1328,large,2,5,38,10,Yes,1638,1,0,1,0,1,1,0,0,1,6
underweight,female,vegetarian,daily,electricity,public,,never,155,never,1478,medium,4,19,47,22,Yes,1110,1,1,0,1,1,1,1,0,1,8
normal,male,pescatarian,daily,coal,public,,sometimes,245,very frequently,1308,small,3,9,12,12,No,2449,1,1,1,1,1,1,1,0,0,3
overweight,male,omnivore,more frequently,natural gas,private,diesel,sometimes,230,very frequently,3310,large,4,13,11,3,Sometimes,3881,0,0,1,1,0,0,0,0,1,12
obese,female,omnivore,twice a day,coal,walk/bicycle,,never,139,never,75,medium,2,14,42,13,No,1576,1,1,0,0,0,0,1,1,0,4
underweight,female,vegetarian,daily,natural gas,public,,sometimes,175,never,1774,small,1,12,25,8,Yes,980,0,1,0,0,0,0,1,1,0,1
overweight,male,vegetarian,twice a day,coal,private,hybrid,never,95,frequently,2910,medium,3,12,5,5,No,2708,0,0,0,0,1,1,0,1,1,6
overweight,female,vegetarian,more frequently,electricity,walk/bicycle,,sometimes,70,rarely,98,medium,1,8,35,15,Yes,909,1,0,1,1,0,0,0,0,1,2
obese,male,omnivore,daily,coal,walk/bicycle,,often,167,very frequently,13,small,6,7,41,2,No,3690,1,1,0,1,1,1,0,1,1,6
normal,female,vegan,less frequently,coal,public,,never,210,frequently,1098,extra large,7,16,22,11,No,2416,1,1,0,0,0,0,0,0,0,28
normal,female,vegan,daily,coal,walk/bicycle,,often,294,never,0,small,7,21,41,6,Yes,1276,1,1,1,1,0,0,1,1,0,7
obese,female,vegetarian,more frequently,electricity,public,,sometimes,146,rarely,854,small,4,20,31,17,Sometimes,1499,1,0,0,0,0,0,1,0,1,4
obese,male,pescatarian,twice a day,electricity,walk/bicycle,,never,140,very frequently,85,medium,3,3,30,14,No,3069,1,0,0,0,1,1,1,1,1,6
underweight,male,omnivore,more frequently,coal,walk/bicycle,,often,239,very frequently,89,medium,1,19,17,20,Sometimes,2696,0,1,1,1,1,1,1,0,1,2
obese,female,vegetarian,more frequently,wood,private,hybrid,often,258,rarely,7715,large,2,7,46,22,No,3432,0,0,1,0,0,0,1,1,0,6
normal,female,omnivore,twice a day,natural gas,walk/bicycle,,often,108,never,59,large,2,1,4,6,Sometimes,763,1,0,1,1,1,1,0,1,1,6
overweight,female,pescatarian,daily,natural gas,walk/bicycle,,never,291,rarely,51,small,5,24,42,22,No,1531,0,1,1,1,1,1,0,0,0,5
obese,female,omnivore,twice a day,natural gas,private,petrol,often,188,rarely,2553,extra large,3,4,29,9,Yes,3050,1,0,0,1,0,0,1,1,1,12
normal,male,pescatarian,more frequently,coal,walk/bicycle,,sometimes,142,never,65,medium,3,10,43,22,No,1988,0,0,0,1,1,1,1,0,1,6
underweight,female,pescatarian,more frequently,wood,public,,never,69,very frequently,274,small,4,11,30,10,Sometimes,1852,1,1,1,0,1,1,1,0,0,4
normal,female,pescatarian,twice a day,wood,walk/bicycle,,never,209,very frequently,50,extra large,2,3,39,5,No,2296,1,0,1,0,0,0,0,0,1,8
overweight,female,vegan,twice a day,electricity,public,,sometimes,58,frequently,219,medium,7,14,18,2,No,1757,0,0,0,1,1,1,1,1,0,14
obese,female,pescatarian,twice a day,electricity,private,hybrid,sometimes,231,frequently,6510,medium,6,23,19,1,Yes,2744,1,1,1,0,0,0,1,1,0,12
overweight,male,pescatarian,twice a day,coal,walk/bicycle,,sometimes,216,rarely,18,large,2,17,34,4,No,1985,0,1,1,1,1,1,1,1,1,6
normal,male,vegetarian,twice a day,electricity,public,,often,163,never,1118,medium,4,12,33,24,No,1275,0,1,1,1,1,1,1,0,0,8
underweight,female,omnivore,more frequently,coal,public,,never,147,rarely,1095,extra large,1,18,42,10,Sometimes,1586,0,0,1,1,0,0,0,1,0,4
normal,male,omnivore,daily,wood,walk/bicycle,,never,217,rarely,23,small,4,24,48,8,Yes,1681,1,1,1,0,1,1,0,1,1,4
obese,male,vegan,less frequently,wood,walk/bicycle,,never,238,frequently,83,small,4,21,33,15,Sometimes,2230,1,0,1,0,0,0,1,1,0,4
obese,male,pescatarian,more frequently,natural gas,walk/bicycle,,never,251,frequently,20,extra large,7,7,21,8,No,3099,1,1,0,0,1,1,0,0,1,28
underweight,male,pescatarian,more frequently,electricity,private,hybrid,often,60,never,7285,extra large,1,14,7,0,Sometimes,1757,1,0,0,1,0,0,1,1,0,4
obese,female,pescatarian,daily,coal,public,,never,175,rarely,405,medium,4,7,27,10,Yes,1532,0,1,1,0,0,0,0,0,0,8
underweight,male,pescatarian,daily,electricity,private,petrol,sometimes,266,frequently,6743,large,1,20,23,18,No,4416,0,0,0,0,0,0,1,1,0,3
overweight,male,vegan,more frequently,wood,walk/bicycle,,often,114,rarely,8,large,6,19,13,9,Sometimes,1701,0,1,1,1,1,1,0,1,0,18
obese,male,pescatarian,daily,natural gas,walk/bicycle,,often,132,very frequently,41,medium,7,16,47,23,Sometimes,4194,0,0,0,0,1,1,0,1,1,14
underweight,male,pescatarian,more frequently,natural gas,public,,never,106,frequently,1059,small,3,12,26,6,No,1634,0,1,1,0,0,0,1,0,1,3
normal,female,pescatarian,more frequently,natural gas,walk/bicycle,,often,108,rarely,49,large,2,23,23,6,No,1329,1,0,0,0,0,0,0,0,0,6
overweight,male,vegetarian,twice a day,natural gas,walk/bicycle,,never,145,very frequently,26,small,7,3,24,6,Sometimes,2901,0,0,0,0,0,0,1,1,0,7
underweight,male,pescatarian,more frequently,coal,public,,often,84,frequently,1345,small,2,1,49,18,Sometimes,2536,0,0,0,0,1,1,1,0,0,2
